Feature,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
Study_Stewart2018,162.03146920706817,214,251,150.27426873550618,0.5841836734693877,0.9274387837801009
breastfeeding_status_After_BM,130.53407639244887,156,211,113.25177229776537,0.5421686746987951,0.8676031227070202
age_months,129.32859035778523,172,236,106.5343891352528,0.5148383468787788,0.8237497125772988
age_months.12_24,118.55112678439527,150,226,97.74825411998677,0.5929203539823009,0.8245240409883076
d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium longum,100.50322155074804,136,148,91.62649308560032,0.6716661312611631,0.9116771748389626
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae,98.95436573740598,126,167,89.66551862555937,0.6876904185334226,0.9061299919146942
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus,89.73325725054949,115,160,79.77382104923866,0.678452315331431,0.8890106465933528
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,84.45839342118391,109,137,77.81928807657053,0.7144154616805505,0.9213920005380051
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G,89.6190557172243,109,180,68.0751803079146,0.6034664580475556,0.7596060878248119
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B,71.21256233333708,107,145,67.79949755002735,0.8290007955641586,0.9520721531218945
age_months.0_6,75.70762605036677,100,144,67.0750100289457,0.5337078651685393,0.8859742872444849
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B,79.70486400197348,102,162,65.1186856246989,0.6530290705403776,0.816997637974598
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis,75.61264437715147,101,193,61.691859925412494,0.762684126311076,0.8158934320256952
Study_Vatenan2016,70.76721711107378,87,126,58.08327669972384,0.5378151260504201,0.8207653073111287
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,66.71662144437678,93,138,57.315573655232605,0.7711398585964335,0.8590898701760242
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas;s__Sellimonas intestinalis,70.29719247540405,88,158,56.384720635869975,0.6792261540297794,0.8020906475830903
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,60.42033431728203,81,144,56.08619260005183,0.7232324106164216,0.9282668365509109
breastfeeding_status_Some_BM,61.213773664520474,77,102,53.2230060169418,0.4537037037037037,0.8694612802116769
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,62.02288228976357,89,152,50.49524518736912,0.750247137625214,0.814138964897847
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii,64.59631225292172,78,137,49.704976657953665,0.6571226916699847,0.7694708091591635
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,64.34142646128346,78,131,49.51953897198855,0.647803402699112,0.7696369461405433
age_months.24_36,70.37356654462741,81,158,49.098261074549846,0.5583333333333333,0.6976804428892228
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435,57.49827443802789,75,125,48.29441990402946,0.6644033148759826,0.8399281609064908
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum,55.7407798175316,73,93,48.16261440629608,0.4554956819138578,0.8640462972343986
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques,56.072078715771056,80,130,47.34094398410102,0.6615548372871695,0.8442873007093585
age_months.6_12,68.36483563919272,92,151,47.130028069358474,0.43670886075949367,0.6893899126459598
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp900552665,63.29114741181285,80,159,46.8704875094632,0.6623111887121964,0.7405536070391284
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis,60.706222693920516,83,167,46.728351531698195,0.797770020849953,0.7697456612858545
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,59.662497879015916,88,146,46.39723138599511,0.6559588386869457,0.7776615635516935
country_Colorado,66.23926976481647,78,142,46.26934686118593,0.5964912280701754,0.6985183717372783
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas nexilis,58.126786539494674,69,110,45.884901435348226,0.4810333550893118,0.7893933961783934
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A,49.59824312540298,65,100,45.671526045153676,0.9197439692042676,0.920829512643803
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis,51.39236210652197,75,120,44.92771034504852,0.807344067782037,0.874209872897571
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia gabavorous,51.201450958504005,69,118,44.86881570619788,0.7949292765503708,0.8763192227220595
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter lactaris,53.33809257077607,73,115,44.795263681658476,0.7270983109112634,0.8398362506536612
lifestyle_Transitional,57.647055792520916,68,161,44.781577537770445,0.6216216216216216,0.7768233246628421
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,47.95968894354152,65,88,44.58591949654257,0.6087730303917605,0.9296540590375685
lifestyle_Industrialized,98.674554702,98,190,44.07669595994811,0.3321616871704745,0.44668755884494243
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,52.08530209591609,75,178,43.64882769781805,0.8215153966333322,0.8380258142198712
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900551275,47.09213018971209,62,141,43.41810815557278,0.8450071659378225,0.9219822501267537
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis,50.494876051183546,71,122,43.337842857182714,0.7004050951591113,0.8582621890833797
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri,47.061547187284596,62,141,42.798244666329644,0.8090056236562898,0.9094100645695126
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,52.70530443924467,70,102,42.756009386597285,0.5377984531872293,0.8112278231099812
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795,49.85500453581224,66,168,42.113409258890634,0.9329746731607804,0.8447177901395916
Study_Backhead2015,56.96724565661082,75,138,41.82521109510057,0.5833333333333334,0.7341975307568152
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,57.941190611160934,73,123,41.78335240828824,0.51589685997259,0.7211338249621627
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus,46.181902838568526,64,105,41.62958829271756,0.7671887910142223,0.901426440530962
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,64.80962655562317,75,128,41.42822443213347,0.46536636359276906,0.6392294884862127
country_Russia,51.212585808848665,66,127,41.194363042402045,0.5263157894736842,0.8043796733123435
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium spiroforme,55.29024298200746,65,115,40.859834167532256,0.6573005512909357,0.7390062326336466
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900549125,49.71238322195881,63,114,40.83885011519799,0.8049482444666031,0.821502560697166
country_Estonia,52.282076710615804,62,97,40.31124486934217,0.5238095238095238,0.7710337348010705
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,48.976962950391155,63,106,39.640114635245716,0.7154693189412964,0.8093624481247899
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,56.23336963395006,74,146,39.548395881132635,0.7108126834375156,0.7032905219547056
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,44.974759190966275,61,106,39.51054841337091,0.6365713671316976,0.8785049464213048
country_Finland,56.18427303701402,72,113,39.4319163760102,0.3283582089552239,0.7018319227879406
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,51.37591923389902,65,125,39.34304862718787,0.5982747497072597,0.7657877311755896
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__An200;s__An200 sp003268275,46.06290887848312,66,118,39.31866304846381,0.9404037799656096,0.8535861934422974
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,46.58931489200627,59,136,39.286748383580495,0.8957320612549826,0.8432566238556399
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii_A,53.305206579366995,62,104,38.968425121961815,0.6350323157010057,0.7310435063025427
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,45.019128091268826,61,113,37.72607394715366,0.7327388054848265,0.8380009908381676
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,50.92839025119363,61,117,37.6294337709205,0.580821579213785,0.7388694907756006
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735,44.676057747639696,69,111,36.654627654079924,0.6223543496087429,0.8204534934825677
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,46.83315325653558,59,111,36.44230464204468,0.5723268922504803,0.7781304932090847
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus,41.61032914879321,58,97,35.070493674389326,0.7711345434677508,0.8428314409381797
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335,38.32307326629791,55,96,34.756981244506704,0.6095021914266098,0.9069466063691896
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575,40.61213630422825,57,112,34.59201787105416,0.7796990919588602,0.8517655316608568
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp900557165,41.64727241627946,55,138,34.40898551725871,0.7333937434520827,0.8262002172273978
